Name,SPDXID,Version,DownloadLocation,License
"@opentelemetry/core","SPDXRef-Package-opentelemetry.core-2.10.0","2.10.0","https://registry.npmjs.org/@opentelemetry/core/-/core-2.10.0.tgz","Apache-2.0"
"@opentelemetry/exporter-metrics-otlp-http","SPDXRef-Package-opentelemetry.exporter-metrics-otlp-http-0.221.0","0.221.0","https://registry.npmjs.org/@opentelemetry/exporter-metrics-otlp-http/-/exporter-metrics-otlp-http-0.221.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation","SPDXRef-Package-opentelemetry.instrumentation-0.221.0","0.221.0","https://registry.npmjs.org/@opentelemetry/instrumentation/-/instrumentation-0.221.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-runtime-node","SPDXRef-Package-opentelemetry.instrumentation-runtime-node-0.34.0","0.34.0","https://registry.npmjs.org/@opentelemetry/instrumentation-runtime-node/-/instrumentation-runtime-node-0.34.0.tgz","Apache-2.0"
"@opentelemetry/otlp-exporter-base","SPDXRef-Package-opentelemetry.otlp-exporter-base-0.221.0","0.221.0","https://registry.npmjs.org/@opentelemetry/otlp-exporter-base/-/otlp-exporter-base-0.221.0.tgz","Apache-2.0"
"@opentelemetry/otlp-transformer","SPDXRef-Package-opentelemetry.otlp-transformer-0.221.0","0.221.0","https://registry.npmjs.org/@opentelemetry/otlp-transformer/-/otlp-transformer-0.221.0.tgz","Apache-2.0"
"@opentelemetry/resources","SPDXRef-Package-opentelemetry.resources-2.10.0","2.10.0","https://registry.npmjs.org/@opentelemetry/resources/-/resources-2.10.0.tgz","Apache-2.0"
"@opentelemetry/sdk-logs","SPDXRef-Package-opentelemetry.sdk-logs-0.221.0","0.221.0","https://registry.npmjs.org/@opentelemetry/sdk-logs/-/sdk-logs-0.221.0.tgz","Apache-2.0"
"@opentelemetry/sdk-metrics","SPDXRef-Package-opentelemetry.sdk-metrics-2.10.0","2.10.0","https://registry.npmjs.org/@opentelemetry/sdk-metrics/-/sdk-metrics-2.10.0.tgz","Apache-2.0"
"@opentelemetry/sdk-trace","SPDXRef-Package-opentelemetry.sdk-trace-2.10.0","2.10.0","https://registry.npmjs.org/@opentelemetry/sdk-trace/-/sdk-trace-2.10.0.tgz","Apache-2.0"
